Day,Pm,BW29,Oo,Gm,BW37,BW58,Site
9/26/2016,0,0,0,0,0,0,CI
9/27/2016,1,0,0,0,0,0,CI
9/28/2016,0,0,0,0,0,0,CI
9/29/2016,0,0,0,0,0,0,CI
9/30/2016,0,1,0,0,0,0,CI
10/1/2016,1,1,0,0,0,0,CI
10/2/2016,0,1,0,0,0,0,CI
10/3/2016,1,1,0,0,0,0,CI
10/4/2016,1,1,0,0,0,0,CI
10/5/2016,1,1,0,0,0,0,CI
10/6/2016,0,0,0,0,0,0,CI
10/7/2016,0,1,0,0,0,0,CI
10/8/2016,1,1,0,0,0,0,CI
10/9/2016,0,1,0,0,0,0,CI
10/10/2016,0,1,0,0,0,0,CI
10/11/2016,0,1,0,0,0,0,CI
10/12/2016,0,1,0,0,0,0,CI
10/13/2016,0,1,0,0,0,0,CI
10/14/2016,0,0,0,0,0,0,CI
10/15/2016,1,0,0,0,0,0,CI
10/16/2016,0,0,0,0,0,0,CI
10/17/2016,0,0,0,0,0,0,CI
10/18/2016,0,0,0,0,0,0,CI
10/19/2016,0,0,0,0,0,0,CI
10/20/2016,1,0,0,0,0,0,CI
10/21/2016,1,0,0,0,0,0,CI
10/22/2016,1,0,0,0,0,0,CI
10/23/2016,1,0,0,0,0,0,CI
10/24/2016,1,0,0,0,0,0,CI
10/25/2016,1,0,0,0,0,0,CI
10/26/2016,0,0,0,0,0,0,CI
10/27/2016,0,0,0,0,0,0,CI
10/28/2016,0,0,0,0,0,0,CI
10/29/2016,0,0,0,0,0,0,CI
10/30/2016,1,0,0,0,0,0,CI
10/31/2016,1,0,0,0,0,0,CI
11/1/2016,0,0,0,0,0,0,CI
11/2/2016,0,0,0,0,0,0,CI
11/3/2016,0,0,0,0,0,0,CI
11/4/2016,0,0,0,0,0,0,CI
11/5/2016,0,0,0,0,0,0,CI
11/6/2016,0,0,0,0,0,0,CI
11/7/2016,0,0,0,0,0,0,CI
11/8/2016,1,0,0,0,0,0,CI
11/9/2016,1,0,0,0,0,0,CI
11/10/2016,0,0,0,0,0,0,CI
11/11/2016,1,0,0,0,0,0,CI
11/12/2016,1,1,0,0,0,0,CI
11/13/2016,0,1,0,0,1,0,CI
11/14/2016,0,1,0,0,1,0,CI
11/15/2016,0,0,0,0,1,0,CI
11/16/2016,0,1,0,0,1,0,CI
11/17/2016,0,1,0,0,0,0,CI
11/18/2016,0,1,0,0,0,0,CI
11/19/2016,0,0,0,0,0,0,CI
11/20/2016,0,1,0,0,0,0,CI
11/21/2016,0,1,0,0,0,0,CI
11/22/2016,0,1,0,0,0,0,CI
11/23/2016,0,1,0,0,0,0,CI
11/24/2016,0,0,0,0,0,0,CI
11/25/2016,0,1,1,0,0,0,CI
11/26/2016,0,1,0,0,0,0,CI
11/27/2016,0,1,0,0,0,0,CI
11/28/2016,0,1,0,0,1,0,CI
11/29/2016,0,1,0,0,0,0,CI
11/30/2016,0,1,0,0,0,0,CI
12/1/2016,0,1,0,0,0,0,CI
12/2/2016,0,1,0,0,0,0,CI
2/10/2015,0,0,0,0,0,0,KGI
2/11/2015,0,0,0,0,0,0,KGI
2/12/2015,0,0,0,1,1,0,KGI
2/13/2015,0,0,0,0,0,0,KGI
2/14/2015,0,0,0,0,0,0,KGI
2/15/2015,0,0,0,0,1,0,KGI
2/16/2015,0,0,0,0,0,0,KGI
2/17/2015,0,0,0,0,0,0,KGI
2/18/2015,0,0,0,0,0,0,KGI
2/19/2015,0,0,0,0,0,0,KGI
2/20/2015,0,1,0,0,0,0,KGI
2/21/2015,0,1,0,0,0,0,KGI
2/22/2015,0,1,0,0,0,0,KGI
2/23/2015,0,0,0,0,0,0,KGI
2/24/2015,0,0,0,0,0,0,KGI
2/25/2015,0,1,0,0,0,0,KGI
2/26/2015,0,0,0,0,1,0,KGI
2/27/2015,0,1,0,0,0,0,KGI
2/28/2015,0,1,0,0,0,0,KGI
3/1/2015,0,0,0,0,1,0,KGI
3/2/2015,0,0,0,0,0,0,KGI
3/3/2015,0,0,0,0,0,0,KGI
3/4/2015,0,1,0,0,0,0,KGI
3/5/2015,0,0,0,0,0,0,KGI
3/6/2015,0,0,0,0,0,0,KGI
3/7/2015,0,1,0,0,0,0,KGI
3/8/2015,0,0,0,0,0,0,KGI
3/9/2015,0,0,0,0,0,0,KGI
3/10/2015,0,0,0,0,1,0,KGI
3/11/2015,0,0,0,0,0,0,KGI
3/12/2015,0,0,0,0,0,0,KGI
3/13/2015,0,0,0,0,0,0,KGI
3/14/2015,0,0,0,0,0,0,KGI
3/15/2015,0,0,0,0,0,0,KGI
3/16/2015,0,0,0,1,0,0,KGI
3/17/2015,0,0,0,0,0,0,KGI
3/18/2015,0,0,0,0,0,0,KGI
3/19/2015,0,0,0,0,0,0,KGI
3/20/2015,0,1,0,0,0,0,KGI
3/21/2015,0,0,0,0,0,0,KGI
3/22/2015,0,0,0,0,0,0,KGI
3/23/2015,0,1,0,0,0,0,KGI
3/24/2015,0,0,0,0,0,0,KGI
3/25/2015,0,0,0,0,0,0,KGI
3/26/2015,0,0,0,0,0,0,KGI
3/27/2015,0,0,0,0,0,0,KGI
3/28/2015,0,0,0,0,0,0,KGI
3/29/2015,0,0,0,0,0,0,KGI
