"date","lon.x","lat.x","chla","o2","productivity","distance_km.x","lon.y","lat.y","temp","ssh","u","v","salinity","mixed_layer","distance_km.y","EKE"
2013-09-16,-57.9333333333333,-61.4166666666667,0.35812017172575,345.238733927409,2.62825944324334,39.726367998394,-57.9321497523652,-61.4597273759239,-1.71394907038911,-1.56784712282339,0.180089035512585,0.0481136924398125,33.8781727382115,53.5823592888682,39.5648574702353,15.3984191856801
2013-09-17,-57.9333333333333,-61.4166666666667,0.39595677057902,346.83866780599,2.99334855675697,39.726367998394,-57.9321497523652,-61.4597273759239,-1.72760392490186,-1.57022320059009,0.211552929581332,0.0103762931981705,33.8673533676262,47.3117232143431,39.5648574702353,43.3699266652752
2013-09-18,-57.9333333333333,-61.4166666666667,0.447076089183489,348.709654744466,3.8444154938062,39.726367998394,-57.9321497523652,-61.4597273759239,-1.75031520325438,-1.56990539982803,0.196704413839861,-0.00649149348973332,33.8533961360616,38.3684226516494,39.5648574702353,38.6931010045511
2013-09-19,-57.9333333333333,-61.4166666666667,0.497637929519018,349.703644816081,3.06022398074468,39.726367998394,-57.9321497523652,-61.4597273759239,-1.76618391409852,-1.56946368325026,0.184659928041405,-0.000582834663695859,33.8407126261776,32.2475107415278,39.5648574702353,27.9358223607314
2013-09-20,-57.9333333333333,-61.4166666666667,0.5509635835886,350.590542602539,4.96698966821035,39.726367998394,-57.9321497523652,-61.4597273759239,-1.77082914606969,-1.57331635539693,0.0960254573676371,0.0712687505647204,33.8394390479066,31.6853277701184,39.5648574702353,7.81273756848585
2013-09-21,-57.9333333333333,-61.4166666666667,0.581517405311267,350.811778767904,3.44892296791077,39.726367998394,-57.9321497523652,-61.4597273759239,-1.76611231950889,-1.57892671742834,0.187154186119262,0.0496625640198476,33.8447167532785,39.1497424383809,39.5648574702353,19.6326772620954
2013-09-22,-57.9333333333333,-61.4166666666667,0.559182753165563,350.009951782227,3.66365075906118,39.726367998394,-57.9321497523652,-61.4597273759239,-1.74889161532983,-1.58801113169892,0.171768727005088,0.104919422711981,33.8518300450834,49.4296618655212,39.5648574702353,29.552899496652
2013-09-23,-57.9333333333333,-61.4166666666667,0.571013683080673,350.908899943034,3.47334850430489,39.726367998394,-57.9321497523652,-61.4597273759239,-1.74524867041667,-1.58640145672891,0.140325483859034,0.107833596338567,33.8522029675935,51.7759157661209,39.5648574702353,21.523531732523
2013-09-24,-57.9333333333333,-61.4166666666667,0.588140720129013,351.870904541016,1.96218233704567,39.726367998394,-57.9321497523652,-61.4597273759239,-1.74460984755279,-1.57845861167836,0.148788059284364,0.0529691181460718,33.8519448301846,52.1671492748691,39.5648574702353,3.28487150117537
2013-09-25,-57.9333333333333,-61.4166666666667,0.602474163969358,352.769647216797,2.63256038626035,39.726367998394,-57.9321497523652,-61.4597273759239,-1.76984062409939,-1.57395541219783,0.122383812414412,0.0398874625395563,33.8391753462024,38.903070180936,39.5648574702353,0.116533960678548
2013-09-26,-57.9333333333333,-61.4166666666667,0.656521663069725,353.662434895833,7.06562627951304,39.726367998394,-57.9321497523652,-61.4597273759239,-1.81526318125259,-1.56686502291744,0.0835679394886234,0.0285588998095434,33.8225510819514,30.3785387627164,39.5648574702353,9.68329393437168
2013-09-27,-57.9333333333333,-61.4166666666667,0.731426181395849,354.453484090169,8.17009375890096,39.726367998394,-57.9321497523652,-61.4597273759239,-1.78846563387634,-1.56167114094684,0.101562386924835,0.0519870188423341,33.8415617548433,39.3023348141434,39.5648574702353,2.9967676605771
2013-09-28,-57.9333333333333,-61.4166666666667,0.801552147666613,354.970035807292,6.38289107282956,39.726367998394,-57.9321497523652,-61.4597273759239,-1.78876852361779,-1.55171361587998,0.1277807698326,0.0402041206038312,33.8433113815193,39.9172944699911,39.5648574702353,0.122198875075961
2013-09-29,-57.9333333333333,-61.4166666666667,0.868244057893753,355.577926635742,7.09179022908211,39.726367998394,-57.9321497523652,-61.4597273759239,-1.80667210611186,-1.55230906852206,0.140398910899359,0.0570879694550557,33.8287981649987,25.5081974187292,39.5648574702353,2.06934816232099
2013-09-30,-57.9333333333333,-61.4166666666667,0.942778696616491,356.512284342448,9.22616108258565,39.726367998394,-57.9321497523652,-61.4597273759239,-1.81402683482134,-1.55777830333638,0.169969739602473,0.0558924703277591,33.8173539154512,18.3713404361467,39.5648574702353,10.9240687356658
2013-10-01,-57.9333333333333,-61.4166666666667,0.998427452643712,356.834296671549,6.80656130313873,39.726367998394,-57.9321497523652,-61.4597273759239,-1.8047914303335,-1.56645313331059,0.195290924701139,0.0347314404701828,33.8142733896585,17.629029306254,39.5648574702353,25.3266047769051
2013-10-02,-57.9333333333333,-61.4166666666667,1.0337693353494,356.819453938802,4.91796072125435,39.726367998394,-57.9321497523652,-61.4597273759239,-1.79083368742376,-1.57503732747601,0.186087184718677,0.0393803503952528,33.8116803993856,20.367090422408,39.5648574702353,18.9292225252567
2013-10-03,-57.9333333333333,-61.4166666666667,1.12447105447451,357.182534790039,10.1808871825536,39.726367998394,-57.9321497523652,-61.4597273759239,-1.78849867815362,-1.57091847487858,0.15842318872368,0.0308558193448567,33.7881663903258,15.0556074264354,39.5648574702353,6.55024167675407
2013-10-04,-57.9333333333333,-61.4166666666667,1.30157737731934,358.728533935547,16.2186326026916,39.726367998394,-57.9321497523652,-61.4597273759239,-1.78480065989315,-1.56973673705768,0.145793574196952,0.0563077973271895,33.7571022922831,13.4344547529866,39.5648574702353,2.96136656918476
2013-10-05,-57.9333333333333,-61.4166666666667,1.4850192228953,360.254940795898,13.6374634583791,39.726367998394,-57.9321497523652,-61.4597273759239,-1.75880990395869,-1.56796414421913,0.170224443456172,0.0296236057870818,33.7676174622729,14.4808037621634,39.5648574702353,11.3925106885825
