"","date","site","chla_1mon","chla_2mon","chla_3mon","chla_4mon","chla_5mon","chla_6mon","productivity_1mon","productivity_2mon","productivity_3mon","productivity_4mon","productivity_5mon","productivity_6mon","salinity_1mon","salinity_2mon","salinity_3mon","salinity_4mon","salinity_5mon","salinity_6mon","temp_1mon","temp_2mon","temp_3mon","temp_4mon","temp_5mon","temp_6mon","EKE_1mon","EKE_2mon","EKE_3mon","EKE_4mon","EKE_5mon","EKE_6mon"
"456",2015-12-27,"KGI",2.121279898617,2.54668282137977,0.351084196733104,0.209523590074645,0.117939589752091,0.1888221402963,18.0395054287381,19.1778801282247,3.37034865220388,0.787639564938015,0.0962977496286233,0.095047806079189,34.0223099390666,34.01670410898,34.2021046744453,34.1854565408495,34.1931606663598,34.0197347270118,-0.83166497035159,-1.79512413756715,-1.78638567527135,-1.79158399005731,-1.64004432823923,-1.39633877575397,54.3749770332424,11.7577178518479,46.8455064749788,57.4978834035036,15.4725485966253,4.27818437628316
"457",2015-12-28,"KGI",2.14861079553763,2.6806110408571,0.388197302818298,0.218579328722424,0.118447115437852,0.184490979545646,14.6360625955794,21.9029679298401,4.00184151861403,1.01843727297253,0.192182295024395,0.11125976116293,34.0108971860674,34.0392221344842,34.2186245388455,34.1801897154914,34.1769159369998,34.0415639082591,-0.764976938565572,-1.76746928277943,-1.76466666658719,-1.79751984278361,-1.68246505740616,-1.40294603341156,40.7856086348323,1.17114812187111,8.34141200463862,18.565200610417,12.3549128827003,7.86638075722974
"458",2015-12-29,"KGI",2.12940179473824,2.74486349688636,0.44402641720242,0.230211564236217,0.12052548593945,0.180392879578802,16.144466691547,13.2715346018473,3.5780611038208,1.83635894457499,0.212603646020095,0.0897743546714385,33.9989862177107,34.0451669428084,34.2221001784007,34.1882857746548,34.1717234187656,34.047826661004,-0.727256061095331,-1.7515081009931,-1.74343595488204,-1.80165509631236,-1.69292782495419,-1.4336273032758,68.29422963161,25.535747495709,29.8986774333603,4.75005085951088,1.45018032107658,14.4535074066157
"459",2015-12-30,"KGI",2.15097645918528,2.85182733005948,0.497172176837921,0.216207075450155,0.122997648186154,0.175452642970615,19.654641840193,23.604621357388,5.18443300988939,0.548624537057347,0.263787829213672,0.0838448920597633,33.9907421535916,34.0305219226413,34.2160177495744,34.195099512736,34.16999607616,34.0723263952467,-0.676279976963997,-1.75551619960202,-1.74919886804289,-1.77387308494912,-1.68960130711397,-1.41444133470456,60.6879771917042,6.68219729349215,0.846965578541895,42.481680857171,8.85457874808379,27.8738980190162
"460",2015-12-31,"KGI",2.17731053464943,3.06961777475145,0.551251312096914,0.177758807109462,0.126414705481794,0.171712078154087,20.478007528517,26.7958601845635,4.8429791132609,0.502523173888524,0.373908495737447,0.104660254799657,33.9822965992822,34.0202325714959,34.2078161769443,34.2118315431807,34.1665204101139,34.0948975616031,-0.623752535424299,-1.7493514633841,-1.75474306858248,-1.68579666647646,-1.69847202218241,-1.39109467963378,59.5291156234887,6.71781107833099,2.36289861658824,20.9104940220874,18.1169845607683,29.7630224686767
"461",2016-01-01,"KGI",2.12950735953119,3.19195290406545,0.570163549648391,0.177353006270197,0.131259205854601,0.169415281050735,13.2309974961811,25.6296850310432,2.34874792893728,0.698847341868613,0.406598630050818,0.127263814417852,33.9703330463833,34.0228500366211,34.1980885399712,34.2131879329681,34.1639347606235,34.1086307366689,-0.585909583709306,-1.73041981293095,-1.75770845346981,-1.70058288507991,-1.70614233364662,-1.38072346895933,56.8747733018242,6.20791887485865,2.16467364092459,6.61670256150254,28.1859843006538,17.0481727294944
"462",2016-01-02,"KGI",2.09620409707228,3.28702456421322,0.584462847974565,0.187362645235327,0.135873834292094,0.167356690598859,18.2586611111959,31.6588011847602,4.45669737127092,0.542202028963301,0.404603171265787,0.111902753925986,33.9648863474528,34.0351635350121,34.1620058218638,34.210655397839,34.1547898451487,34.1163662274679,-0.5701671195113,-1.70960110591518,-1.80209761444065,-1.70545058283541,-1.72616756872998,-1.38041319946448,135.434336717609,4.58880277579467,49.373007942933,21.777476088768,59.595595547496,1.64768165984474
"463",2016-01-03,"KGI",2.10516752468215,3.39721878369649,0.621526580717829,0.20014854768912,0.133221960316102,0.16491127676434,15.7446246147156,32.9897295633952,4.40091319878896,0.9178895668851,0.302823588045107,0.118388804296652,33.9740841653612,34.0276819599999,34.1668060355716,34.2103162341648,34.1380047798157,34.1229996681213,-0.589831214191185,-1.70473339988126,-1.7863551552097,-1.70909246140056,-1.73667102224297,-1.38727986233102,109.218502723081,17.8404800774257,75.6101013243491,9.66713683077182,72.943501149621,3.25460931355107
"464",2016-01-04,"KGI",2.11005884740088,3.48177013132307,0.679728633827633,0.207297136386236,0.135095070219702,0.162048714856307,13.5888117154439,27.6823701328701,7.85095720820957,0.885999189482795,0.441490242050754,0.123532228171825,33.9735331800249,34.0287521680196,34.1549589898851,34.212319082684,34.1333740817176,34.1304067240821,-0.559653492230508,-1.67752615196837,-1.79490033454365,-1.70775473035044,-1.7634357487162,-1.40044351584382,59.8086178228379,10.5974463690551,9.74939401771625,5.81697034267213,20.98504889924,10.333057150666
"465",2016-01-05,"KGI",2.02562068568336,3.45773751205868,0.743249406417211,0.21693959666623,0.14062543420328,0.160785564945804,12.0196958780289,29.7853829065959,6.75794894165463,1.01255556278759,0.494755454361439,0.178592056035995,33.9639748732249,34.0326308939192,34.1534966362847,34.2021992736393,34.131000439326,34.1342532899645,-0.504053853866127,-1.63568527334266,-1.79042428980271,-1.72924484726455,-1.78177228983906,-1.42927333795362,53.8254718893546,31.6223287928307,9.39335648784357,33.0044774622107,11.1775586982712,19.0094729055664
