Input file,Event Number,Species Code,Call,Start time,End time,Median Peak Frequency (kHz),Median ICI (ms),Median Duration (us),Median Center Frequency (kHz),Click Count,Comments
Antarc01EI,Nposdaljian,Pm,regular-click,4/30/2014 23:20:05,5/1/2014 0:05:10,,,,,,
Antarc01EI,Nposdaljian,Pm,slow-click,5/1/2014 0:16:35,5/1/2014 0:37:13,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,5/1/2014 0:38:20,5/1/2014 0:42:15,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,5/1/2014 0:58:33,5/1/2014 1:02:04,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,5/1/2014 1:17:17,5/1/2014 1:26:40,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,5/1/2014 11:49:20,5/1/2014 14:04:53,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,5/1/2014 14:33:58,5/1/2014 14:55:59,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,5/1/2014 15:15:47,5/1/2014 15:48:41,,,,,,
Antarc01EI,jst_bw117,BW29,Clicks,5/1/2014 16:12:38,5/1/2014 16:21:21,,,,,,
Antarc01EI,jst_bw118,BW29,Clicks,5/1/2014 16:22:34,5/1/2014 16:32:32,,,,,,
Antarc01EI,jst_bw119,BW29,Clicks,5/1/2014 16:35:00,5/1/2014 16:36:15,,,,,,
Antarc01EI,jst_bw120,BW29,Clicks,5/1/2014 16:40:00,5/1/2014 16:41:15,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,5/1/2014 16:52:18,5/1/2014 17:09:28,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,5/2/2014 3:47:53,5/2/2014 3:48:02,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,5/2/2014 4:07:00,5/2/2014 4:25:13,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,5/2/2014 4:45:36,5/2/2014 6:27:25,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,5/2/2014 6:44:26,5/2/2014 7:03:58,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,5/2/2014 7:27:05,5/2/2014 7:47:04,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,5/2/2014 8:04:38,5/2/2014 10:13:47,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,5/2/2014 10:31:07,5/2/2014 11:59:14,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,5/2/2014 12:15:36,5/2/2014 13:23:19,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,5/2/2014 13:41:40,5/2/2014 14:22:56,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,5/2/2014 14:44:02,5/2/2014 16:37:43,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,5/2/2014 17:05:34,5/2/2014 17:10:17,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,5/2/2014 17:28:08,5/2/2014 17:28:08,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,5/2/2014 19:29:43,5/2/2014 19:48:42,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,5/2/2014 20:08:53,5/2/2014 22:41:26,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,5/2/2014 23:01:30,5/2/2014 23:15:53,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,5/2/2014 23:40:33,5/3/2014 3:03:48,,,,,,
Antarc01EI,Nposdaljian,Pm,slow-click,5/3/2014 4:11:24,5/3/2014 4:15:18,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,5/3/2014 4:15:39,5/3/2014 4:41:58,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,5/3/2014 5:04:24,5/3/2014 5:07:49,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,5/3/2014 5:28:53,5/3/2014 8:43:58,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,5/3/2014 9:00:09,5/3/2014 9:17:13,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,5/3/2014 9:34:22,5/3/2014 12:15:24,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,5/3/2014 12:36:24,5/3/2014 14:33:14,,,,,,
Antarc01EI,jst_bw121,BW29,Clicks,5/3/2014 14:26:31,5/3/2014 14:29:01,,,,,,
Antarc01EI,jst_bw122,BW29,Clicks,5/3/2014 14:31:29,5/3/2014 14:35:14,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,5/3/2014 14:59:34,5/3/2014 17:40:57,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,5/3/2014 23:41:25,5/3/2014 23:47:55,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,5/4/2014 0:04:20,5/4/2014 2:21:05,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,5/4/2014 2:44:13,5/4/2014 12:30:34,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,5/4/2014 20:24:43,5/4/2014 20:43:55,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,5/4/2014 21:05:00,5/4/2014 21:53:49,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,5/4/2014 22:13:43,5/4/2014 22:31:28,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,5/4/2014 23:00:02,5/4/2014 23:22:57,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,5/4/2014 23:51:29,5/4/2014 23:51:31,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,5/5/2014 0:56:32,5/5/2014 2:30:08,,,,,,
Antarc01EI,Nposdaljian,Pm,slow-click,5/5/2014 2:30:21,5/5/2014 2:35:23,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,5/5/2014 2:48:48,5/5/2014 3:17:23,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,5/5/2014 3:42:30,5/5/2014 3:42:30,,,,,,
