Input file,Event Number,Species Code,Call,Start time,End time,Comments
Antarc_EIE_01,jst_bw280,BW29,Clicks,10/10/2016 19:54:59,10/10/2016 19:57:29,
Antarc_EIE_01,jst_bw281,BW29,Clicks,10/10/2016 20:18:44,10/10/2016 20:22:29,
Antarc_EIE_01,jst_bw282,BW29,Clicks,10/10/2016 20:27:29,10/10/2016 20:29:59,
Antarc_EIE_01,jst_bw283,BW29,Clicks,10/10/2016 20:32:29,10/10/2016 20:33:44,
Antarc_EIE_01,jst_bw284,BW29,Clicks,10/10/2016 20:37:29,10/10/2016 20:42:29,
Antarc_EIE_01,jst_bw285,BW29,Clicks,10/10/2016 20:59:59,10/10/2016 21:06:14,
Antarc_EIE_01,jst_bw286,BW29,Clicks,10/10/2016 21:09:59,10/10/2016 21:11:14,
Antarc_EIE_01,jst_bw287,BW29,Clicks,10/10/2016 21:19:59,10/10/2016 21:21:14,
Antarc_EIE_01,jst_bw288,BW29,Clicks,10/10/2016 23:42:29,10/10/2016 23:43:44,
Antarc_EIE_01,jst_bw289,BW29,Clicks,10/11/2016 0:16:14,10/11/2016 0:17:29,
Antarc_EIE_01,jst_bw290,BW29,Clicks,10/11/2016 2:03:44,10/11/2016 2:07:29,
Antarc_EIE_01,jst_bw291,BW29,Clicks,10/11/2016 2:09:59,10/11/2016 2:13:44,
Antarc_EIE_01,jst_bw292,BW29,Clicks,10/11/2016 2:14:59,10/11/2016 2:18:44,
Antarc_EIE_01,jst_bw293,BW29,Clicks,10/11/2016 8:28:44,10/11/2016 8:32:29,
Antarc_EIE_01,jst_bw294,BW29,Clicks,10/11/2016 13:02:29,10/11/2016 13:03:44,
Antarc_EIE_01,jst_bw295,BW29,Clicks,10/12/2016 0:18:44,10/12/2016 0:22:29,
Antarc_EIE_01,jst_bw296,BW29,Clicks,10/12/2016 0:24:59,10/12/2016 0:26:14,
Antarc_EIE_01,jst_bw297,BW29,Clicks,10/12/2016 0:29:59,10/12/2016 0:31:14,
Antarc_EIE_01,jst_bw298,BW29,Clicks,10/12/2016 4:24:59,10/12/2016 4:26:14,
Antarc_EIE_01,jst_bw299,BW29,Clicks,10/12/2016 4:27:29,10/12/2016 4:29:59,
Antarc_EIE_01,jst_bw300,BW29,Clicks,10/12/2016 4:31:14,10/12/2016 4:32:29,
Antarc_EIE_01,jst_bw301,BW29,Clicks,10/12/2016 4:36:14,10/12/2016 4:38:44,
Antarc_EIE_01,jst_bw302,BW29,Clicks,10/12/2016 4:39:59,10/12/2016 4:42:29,
Antarc_EIE_01,jst_bw303,BW29,Clicks,10/12/2016 4:44:59,10/12/2016 4:54:59,
Antarc_EIE_01,jst_bw304,BW29,Clicks,10/12/2016 4:56:14,10/12/2016 4:58:44,
