"Day","Pm","BW29","Oo","Gm","BW37","BW58","Site"
2016-08-10,0,0,0,0,0,0,"CI"
2016-08-11,5,0,0,20,0,0,"CI"
2016-08-12,5,0,0,0,0,0,"CI"
2016-08-13,0,0,0,0,0,0,"CI"
2016-08-14,0,0,0,0,0,0,"CI"
2016-08-15,10,0,0,0,0,0,"CI"
2016-08-16,10,0,0,0,0,0,"CI"
2016-08-17,5,0,0,0,0,0,"CI"
2016-08-18,15,0,10,0,0,0,"CI"
2016-08-19,5,0,20,0,0,0,"CI"
2016-08-20,10,0,30,0,0,0,"CI"
2016-08-21,10,0,0,0,0,0,"CI"
2016-08-22,5,0,0,0,0,0,"CI"
2016-08-23,215,0,0,0,0,0,"CI"
2016-08-24,0,0,0,0,0,0,"CI"
2016-08-25,0,0,0,0,0,0,"CI"
2016-08-26,5,0,25,0,0,0,"CI"
2016-08-27,0,0,0,0,0,0,"CI"
2016-08-28,5,0,0,0,0,0,"CI"
2016-08-29,10,0,0,0,0,0,"CI"
2016-08-30,95,0,0,0,0,0,"CI"
2016-08-31,75,0,0,0,0,0,"CI"
2016-09-01,5,0,15,0,0,0,"CI"
2016-09-02,5,0,20,0,0,0,"CI"
2016-09-03,15,0,0,0,0,0,"CI"
2016-09-04,10,0,0,0,0,0,"CI"
2016-09-05,75,0,0,0,0,0,"CI"
2016-09-06,300,0,0,0,0,0,"CI"
2016-09-07,410,0,0,10,0,0,"CI"
2016-09-08,10,0,0,0,0,0,"CI"
2016-09-09,100,0,0,0,0,0,"CI"
2016-09-10,25,0,0,5,0,0,"CI"
2016-09-11,0,0,0,0,0,0,"CI"
2016-09-12,0,0,0,0,0,0,"CI"
2016-09-13,0,0,0,0,0,0,"CI"
2016-09-14,0,0,0,0,0,0,"CI"
2016-09-15,5,0,0,0,0,0,"CI"
2016-09-16,0,0,0,0,0,0,"CI"
2016-09-17,5,0,0,0,0,0,"CI"
2016-09-18,15,0,0,0,0,0,"CI"
2016-09-19,0,0,0,0,0,0,"CI"
2016-09-20,0,0,0,10,0,0,"CI"
2016-09-21,5,0,0,0,0,0,"CI"
2016-09-22,0,0,0,0,0,0,"CI"
2016-09-23,5,0,0,0,0,0,"CI"
2016-09-24,5,0,0,0,0,0,"CI"
2016-09-25,0,0,0,0,0,0,"CI"
2016-09-26,0,0,0,0,0,0,"CI"
2016-09-27,10,0,0,0,0,0,"CI"
2016-09-28,0,0,0,0,0,0,"CI"
2016-09-29,0,0,0,0,0,0,"CI"
2016-09-30,0,10,0,0,0,0,"CI"
2016-10-01,10,65,0,0,0,0,"CI"
2016-10-02,0,40,0,0,0,0,"CI"
2016-10-03,10,105,0,0,0,0,"CI"
2016-10-04,5,95,0,0,0,0,"CI"
2016-10-05,5,35,0,0,0,0,"CI"
2016-10-06,0,0,0,0,0,0,"CI"
2016-10-07,0,55,0,0,0,0,"CI"
2016-10-08,5,125,0,0,0,0,"CI"
2016-10-09,0,105,0,0,0,0,"CI"
2016-10-10,0,150,0,0,0,0,"CI"
2016-10-11,0,40,0,0,0,0,"CI"
2016-10-12,0,175,0,0,0,0,"CI"
2016-10-13,0,75,0,0,0,0,"CI"
2016-10-14,0,0,0,0,0,0,"CI"
2016-10-15,10,0,0,0,0,0,"CI"
2016-10-16,0,0,0,0,0,0,"CI"
2016-10-17,0,0,0,0,0,0,"CI"
2016-10-18,0,0,0,0,0,0,"CI"
2016-10-19,0,0,0,0,0,0,"CI"
2016-10-20,10,0,0,0,0,0,"CI"
2016-10-21,20,0,0,0,0,0,"CI"
2016-10-22,25,0,0,0,0,0,"CI"
2016-10-23,5,0,0,0,0,0,"CI"
2016-10-24,5,0,0,0,0,0,"CI"
2016-10-25,5,0,0,0,0,0,"CI"
2016-10-26,0,0,0,0,0,0,"CI"
2016-10-27,0,0,0,0,0,0,"CI"
2016-10-28,0,0,0,0,0,0,"CI"
2016-10-29,0,0,0,0,0,0,"CI"
2016-10-30,5,0,0,0,0,0,"CI"
2016-10-31,5,0,0,0,0,0,"CI"
2016-11-01,0,0,0,0,0,0,"CI"
2016-11-02,0,0,0,0,0,0,"CI"
2016-11-03,0,0,0,0,0,0,"CI"
2016-11-04,0,0,0,0,0,0,"CI"
2016-11-05,0,0,0,0,0,0,"CI"
2016-11-06,0,0,0,0,0,0,"CI"
2016-11-07,0,0,0,0,0,0,"CI"
2016-11-08,20,0,0,0,0,0,"CI"
2016-11-09,5,0,0,0,0,0,"CI"
2016-11-10,0,0,0,0,0,0,"CI"
2016-11-11,5,0,0,0,0,0,"CI"
2016-11-12,5,45,0,0,0,0,"CI"
2016-11-13,0,85,0,0,10,0,"CI"
2016-11-14,0,15,0,0,10,0,"CI"
2016-11-15,0,0,0,0,15,0,"CI"
2016-11-16,0,30,0,0,5,0,"CI"
2016-11-17,0,35,0,0,0,0,"CI"
2016-11-18,0,60,0,0,0,0,"CI"
2016-11-19,0,0,0,0,0,0,"CI"
2016-11-20,0,55,0,0,0,0,"CI"
2016-11-21,0,40,0,0,0,0,"CI"
2016-11-22,0,15,0,0,0,0,"CI"
2016-11-23,0,20,0,0,0,0,"CI"
2016-11-24,0,0,0,0,0,0,"CI"
2016-11-25,0,50,25,0,0,0,"CI"
2016-11-26,0,60,0,0,0,0,"CI"
2016-11-27,0,50,0,0,0,0,"CI"
2016-11-28,0,120,0,0,5,0,"CI"
2016-11-29,0,485,0,0,0,0,"CI"
2016-11-30,0,370,0,0,0,0,"CI"
2016-12-01,0,85,0,0,0,0,"CI"
2016-12-02,0,5,0,0,0,0,"CI"
2014-03-05,0,0,0,0,0,0,"EI"
2014-03-06,0,0,0,0,0,0,"EI"
2014-03-07,0,0,0,0,0,0,"EI"
2014-03-08,0,0,0,0,10,0,"EI"
2014-03-09,0,15,0,0,25,0,"EI"
2014-03-10,0,0,0,0,5,0,"EI"
2014-03-11,0,0,0,0,0,0,"EI"
2014-03-12,0,0,0,0,5,0,"EI"
2014-03-13,0,0,0,0,0,0,"EI"
2014-03-14,0,10,0,0,0,0,"EI"
2014-03-15,0,15,0,0,0,0,"EI"
2014-03-16,0,0,0,0,0,0,"EI"
2014-03-17,0,0,0,0,5,0,"EI"
2014-03-18,0,0,0,0,0,0,"EI"
2014-03-19,0,0,0,0,30,20,"EI"
2014-03-20,0,0,0,0,0,0,"EI"
2014-03-21,0,0,0,0,10,0,"EI"
2014-03-22,0,0,0,0,10,0,"EI"
2014-03-23,0,0,0,0,0,0,"EI"
2014-03-24,0,0,55,0,0,0,"EI"
2014-03-25,0,20,0,0,0,0,"EI"
2014-03-26,0,0,0,0,0,0,"EI"
2014-03-27,0,5,0,0,0,0,"EI"
2014-03-28,0,0,0,0,0,0,"EI"
2014-03-29,0,25,0,0,10,0,"EI"
2014-03-30,0,10,0,0,0,0,"EI"
2014-03-31,0,0,0,0,0,0,"EI"
2014-04-01,0,0,0,0,0,0,"EI"
2014-04-02,0,0,0,0,0,0,"EI"
2014-04-03,0,5,0,0,0,0,"EI"
2014-04-04,0,0,15,0,0,0,"EI"
2014-04-05,0,0,0,0,0,0,"EI"
2014-04-06,0,0,0,0,0,0,"EI"
2014-04-07,0,0,0,0,0,0,"EI"
2014-04-08,0,10,0,0,0,0,"EI"
2014-04-09,0,0,0,0,0,0,"EI"
2014-04-10,0,25,0,0,0,0,"EI"
2014-04-11,0,0,0,0,0,0,"EI"
2014-04-12,0,0,0,0,0,0,"EI"
2014-04-13,5,0,0,0,0,0,"EI"
2014-04-14,0,0,0,0,0,0,"EI"
2014-04-15,0,0,0,10,0,0,"EI"
2014-04-16,0,0,0,0,0,0,"EI"
2014-04-17,0,0,0,10,0,0,"EI"
2014-04-18,0,0,0,0,0,0,"EI"
2014-04-19,0,70,0,0,10,0,"EI"
2014-04-20,0,65,0,5,0,0,"EI"
2014-04-21,0,45,0,0,0,0,"EI"
2014-04-22,0,120,0,0,0,0,"EI"
2014-04-23,125,155,0,0,0,0,"EI"
2014-04-24,80,80,0,0,10,0,"EI"
2014-04-25,235,0,0,0,0,0,"EI"
2014-04-26,220,0,0,0,0,0,"EI"
2014-04-27,145,0,0,0,0,0,"EI"
2014-04-28,1020,5,0,0,0,0,"EI"
2014-04-29,270,5,0,0,0,0,"EI"
2014-04-30,225,0,0,0,0,0,"EI"
2014-05-01,290,35,0,0,0,0,"EI"
2014-05-02,885,0,0,0,0,0,"EI"
2014-05-03,920,15,0,0,0,0,"EI"
2014-05-04,870,0,0,0,0,0,"EI"
2014-05-05,1000,0,0,10,0,0,"EI"
2014-05-06,325,0,0,0,0,0,"EI"
2014-05-07,555,0,0,0,0,0,"EI"
2014-05-08,25,0,0,15,10,0,"EI"
2014-05-09,75,0,0,0,40,0,"EI"
2014-05-10,650,0,0,0,0,0,"EI"
2014-05-11,400,0,0,0,30,0,"EI"
2014-05-12,400,0,0,5,15,0,"EI"
2014-05-13,245,0,0,0,35,0,"EI"
2014-05-14,700,0,0,0,10,0,"EI"
2014-05-15,320,0,0,0,15,0,"EI"
2014-05-16,200,0,35,0,10,0,"EI"
2014-05-17,280,10,0,0,0,0,"EI"
2014-05-18,10,0,0,0,0,0,"EI"
2014-05-19,160,30,0,20,10,0,"EI"
2014-05-20,180,0,0,25,0,0,"EI"
2014-05-21,180,0,0,40,0,0,"EI"
2014-05-22,0,5,0,45,5,0,"EI"
2014-05-23,25,0,0,0,0,0,"EI"
2014-05-24,65,0,0,15,0,0,"EI"
2014-05-25,90,5,0,10,15,0,"EI"
2014-05-26,20,0,0,20,0,0,"EI"
2014-05-27,405,0,0,0,0,0,"EI"
2014-05-28,140,0,0,20,0,0,"EI"
2014-05-29,170,25,0,0,0,0,"EI"
2014-05-30,110,0,0,0,15,0,"EI"
2014-05-31,190,5,120,0,10,0,"EI"
2014-06-01,105,0,0,0,0,0,"EI"
2014-06-02,330,0,0,0,0,0,"EI"
2014-06-03,390,25,0,0,0,0,"EI"
2014-06-04,0,0,0,0,0,0,"EI"
2014-06-05,610,0,0,65,0,0,"EI"
2014-06-06,115,10,0,0,0,0,"EI"
2014-06-07,80,0,0,0,10,0,"EI"
2014-06-08,30,0,0,0,0,0,"EI"
2014-06-09,0,20,0,0,0,0,"EI"
2014-06-10,80,100,0,0,0,0,"EI"
2014-06-11,50,85,0,15,0,0,"EI"
2014-06-12,5,0,0,0,0,0,"EI"
2014-06-13,0,0,0,0,0,0,"EI"
2014-06-14,0,0,0,0,0,0,"EI"
2014-06-15,0,0,0,0,0,0,"EI"
2014-06-16,5,0,0,0,0,0,"EI"
2014-06-17,0,0,0,60,0,0,"EI"
2014-06-18,10,0,0,45,0,0,"EI"
2014-06-19,5,60,0,45,0,0,"EI"
2014-06-20,0,90,0,100,0,0,"EI"
2014-06-21,5,145,0,85,0,0,"EI"
2014-06-22,0,60,0,45,0,0,"EI"
2014-06-23,0,115,0,60,0,0,"EI"
2014-06-24,0,160,30,110,0,0,"EI"
2014-06-25,0,130,0,5,0,0,"EI"
2014-06-26,0,135,0,30,0,0,"EI"
2014-06-27,65,90,0,85,0,0,"EI"
2014-06-28,85,45,0,10,0,0,"EI"
2014-06-29,0,185,0,75,0,0,"EI"
2014-06-30,5,155,0,60,0,0,"EI"
2014-07-01,10,310,0,15,0,0,"EI"
2014-07-02,140,75,0,85,0,0,"EI"
2014-07-03,10,175,0,85,0,0,"EI"
2014-07-04,20,195,0,45,0,0,"EI"
2014-07-05,20,20,0,55,0,0,"EI"
2014-07-06,10,115,0,65,0,0,"EI"
2014-07-07,0,60,0,5,10,0,"EI"
2014-07-08,0,0,0,165,0,0,"EI"
2014-07-09,75,0,0,140,0,0,"EI"
2014-07-10,0,10,0,140,0,0,"EI"
2014-07-11,0,115,0,95,0,0,"EI"
2014-07-12,5,100,0,35,0,0,"EI"
2014-07-13,5,25,0,50,0,0,"EI"
2014-07-14,0,30,0,55,10,0,"EI"
2014-07-15,35,40,0,30,0,0,"EI"
2014-07-16,0,0,0,270,0,0,"EI"
2014-07-17,0,30,0,35,10,0,"EI"
2015-02-10,0,0,0,0,0,0,"KGI"
2015-02-11,0,0,0,0,0,0,"KGI"
